"","Category","m","Year","COG_hat","SE"
"172","3","1","2001","369.967091845416","18.2170411640046"
"173","3","1","2002","397.839813196923","17.5460813711437"
"174","3","1","2003","373.416180742213","21.8146951283245"
"175","3","1","2004","362.016054136986","15.4132623764638"
"176","3","1","2005","400.232591783635","19.8257330773911"
"177","3","1","2006","362.973411295494","17.4721946211119"
"178","3","1","2007","405.805420699387","20.7175919002237"
"179","3","1","2008","373.187194693188","18.9382203640854"
"180","3","1","2009","390.318842715107","20.0044963985064"
"181","3","1","2010","394.381135508368","16.6895012041521"
"182","3","1","2011","379.720052325462","16.8469382210581"
"183","3","1","2012","399.433468107769","17.6967296602715"
"184","3","1","2013","381.890062058053","21.842159459175"
"185","3","1","2014","377.223304593137","21.4664536543957"
"186","3","1","2015","403.030670154868","24.3265130272993"
"187","3","1","2016","385.2975373203","23.6362544947617"
"188","3","1","2017","385.71770784758","24.8590426395588"
"189","3","1","2018","390.426552144186","22.8572065747003"
"190","3","1","2019","429.427395556692","23.6194466450167"
"191","3","2","1982","4533.26521605235","9.40422694660925"
"192","3","2","1983","4529.83268225009","10.6839514324484"
"193","3","2","1984","4528.66035932024","11.2687927112784"
"194","3","2","1985","4516.83433915661","10.4946730072457"
"195","3","2","1986","4523.34676517397","11.3511119994641"
"196","3","2","1987","4527.20936819854","10.109466577433"
"197","3","2","1988","4531.82410488693","10.4661933224822"
"198","3","2","1989","4534.32167096633","9.85432418236138"
"199","3","2","1990","4534.94353674014","10.1995930238474"
"200","3","2","1991","4530.23465568739","9.72860287795125"
"201","3","2","1992","4528.04605511618","10.0634637157177"
"202","3","2","1993","4534.33369183121","8.9457080130732"
"203","3","2","1994","4532.49440780123","8.94172444963003"
"204","3","2","1995","4533.6840517327","7.26549736012103"
"205","3","2","1996","4525.52713512298","9.79257512048635"
"206","3","2","1997","4538.49157590596","9.57651712402386"
"207","3","2","1998","4531.0643619191","9.6829475857037"
"208","3","2","1999","4531.78951679146","8.68310177494279"
"209","3","2","2000","4534.63414337923","10.0215704352196"
"210","3","2","2001","4532.16856156297","8.93096974427158"
"211","3","2","2002","4540.04335334736","9.53233558669899"
"212","3","2","2003","4528.78638236392","10.4083841662198"
"213","3","2","2004","4531.91703845264","8.40391697027899"
"214","3","2","2005","4531.49911395067","10.3675180797664"
"215","3","2","2006","4530.89182937651","9.34848276960405"
"216","3","2","2007","4534.54080546385","10.2958789560199"
"217","3","2","2008","4529.10514878405","9.73000167665465"
"218","3","2","2009","4530.92441725114","9.47939916662168"
"219","3","2","2010","4534.4167529059","7.8193888692186"
"220","3","2","2011","4532.04095117632","8.25147602378937"
"221","3","2","2012","4536.42860274897","8.68615819089279"
"222","3","2","2013","4531.06968619103","9.23822551819403"
"223","3","2","2014","4526.79638638444","10.2199722052408"
"224","3","2","2015","4535.19303613537","10.0419697906959"
"225","3","2","2016","4535.63043082386","9.71235555797183"
"226","3","2","2017","4531.82410488693","10.4661933224822"
"227","3","2","2018","4535.62561799788","9.74968320830522"
"228","3","2","2019","4540.48213742217","8.4787697190272"
